Name,Source,Uses
Adamant / Adamantine,Greek mythology,"Adamant has long meant any impenetrably or unyieldingly hard substance and, formerly, a legendary stone or mineral of impenetrable hardness and many other properties, often identified with diamond or lodestone.[1] The English word is both a noun and an adjective; from Latin adamans 'impregnable, diamondlike hardness; very firm/resolute position', from Greek adamastos 'untameable' (hence also the word diamond). Adamant or adamantine (suffix -ine 'of the nature of' or 'made of') occur in many works. In myth, Kronos uses an adamantine sickle to castrate his father Uranus; in Prometheus Bound, Prometheus is bound to rocks ""in adamantine bonds infrangible"";[2] in Virgil's Aeneid, columns of solid adamantine protect the gates of Tartarus; in Paradise Lost, adamant and adamantine are mentioned eight times to describe the gates of hell, Satan's shield, fallen angel's armor and Satan's chains. In fiction Adamant is referred to in the film Forbidden Planet (as ""adamantine steel""); many books such as The Adventures of Tom Sawyer, The Faerie Queene, Gulliver's Travels, His Dark Materials, The Lord of the Rings, Mathilda (by Mary Shelley), and A Midsummer Night's Dream; and many games such as Dungeons & Dragons, Final Fantasy and RuneScape. The word adamant is the basis for fictional materials such as Adamantium and Adamantite (see below), Adamantle in The Sims, and Adiamante in L. E. Modesitt Jr.'s 1996 novel of the same name."
Adamantite,Various,"A metal ore in many fictional universes. In Final Fantasy it is used to make armor; its source is in another world; it can contain great amounts of energy. In World of Warcraft, it is a rare ore used to make weapons and armor of uncommon, rare and epic grade. In The Dark Elf Trilogy by R. A. Salvatore set in the Dungeons & Dragons universe it is used to make drow weaponry. It is also used for armor in The Elder Scrolls III, and in the game Terraria it is a red ore used to produce armor and other items. The name is from the word adamant (see above), with suffix -ite for names of minerals."
Adamantium,Marvel Comics,"Fictional alloy. First appears in Marvel's Avengers #66 (July 1969), by writer Roy Thomas and artists Barry Windsor-Smith and Syd Shores. First presented as part of the character Ultron's outer shell,[3] but best known as the substance bonded to the character Wolverine's skeleton and claws.[4][5][6] Adamantium's defining quality is its near-indestructibility. Adamantium is not depicted as a naturally occurring metal but as having been inadvertently invented by fictional American metallurgist Dr. Myron MacLain in trying to recreate his prior discovery, a unique alloy of steel and vibranium. Despite its potential uses in armament and armature, adamantium is rarely used due to high cost and inability to be reshaped. Other forms of adamantium of varying durability are mentioned in the Marvel Universe, including Secondary Adamantium, Adamantium Beta and Carbonadium.[7] Besides Ultron's outer shell and Wolverine's skeleton and claws, Adamantium is associated with a number of other characters and implements including but not limited to, Bullseye's spinal column, certain iterations of Captain America's shield[8] and Lady Deathstrike's skeleton and talons. Adamantium is also used in the Games Workshop universe of Warhammer 40000 and the MMORPG Maplestory."
Administratium,Scientific in-joke,"First referenced in a 1989 issue of The Physics Teacher.[9] It was apparently discovered by the fictional Thomas Kyle, who was awarded an Ig Nobel Prize for physics for his discovery,[10] and it is a parody on bureaucracy of scientific establishments and on descriptions of newly discovered chemical elements."
Administrontium,Scientific in-joke,Similar to Administratium and a variation of the joke. It was referenced in a 1993 print.[11]
Aether,Final Fantasy XIV,"In the MMORPG Final Fantasy XIV, Aether is one of the main elements of life and magic in the world.[12][13]"
Aether,Magic: The Gathering,"Aether (previously spelled Æther) is the main type of energy filling the blind eternities in the Magic: The Gathering multiverse, though it can also appear in variable quantities within the planes. Inextricably associated with magic in Magic's shared fictional universe and the use of the word in several Magic cards implies that casting magic involves channeling and manipulating Aether. ""Summoning"" the creatures around which combat and much of gameplay in Magic revolves is described as ""pulling (them) from the Aether"".[14][15][16]"
Afraidium,Robots (2005 film),An element made up by Fender. Fender says it is yellow and tastes like chicken.
Antidermis,Bionicle,"Greenish-black gas; forms the essence of the Makuta, the main villains of the series. They usually keep the antidermis inside suits of armor."
"Aquelium, terrelium, and plutulium",The Goddess of Atvatabar,"Three precious metals found in Earth's interior. Aquelium is a bright green metal derived from the interior ocean, and terrelium is a vermilion metal found only in Atvatabar. When these two metals come in contact, they produce a harnessable form of energy called magnicity."
Arenak,Skylark series,"A synthetic metal made by Osnomians. Vastly superior to the best steel. Usually transparent, but substances may be added to make it colored or opaque. Requires salt, which is very rare on Osnome, as a catalyst in its manufacture.[17]"
Arsonium,I Expect You to Die,"Green liquid with symbol Ar and atomic number 7. Makes a compound that is corrosive to copper when mixed with Galine and Sanite, and a compound that produces clouds when exposed to air when mixed with Regalite. The real element 7 is nitrogen; and symbol Ar = argon."
Atium,Mistborn,"Metal. Forms the body and power of the shard Ruin. If an Allomancer burns Atium, it lets them see a few seconds into the future as a ghostly image overlaid on the present. This is a significant advantage in combat; it lets them know every move the opponent will make. This is canceled if the opponent burns Atium or electrum: it causes a feedback loop, so the user sees a mess of possible futures. It is extremely valuable in the Final Empire, as it is both very rare and hoarded by the Lord Ruler. The only place it is found is the pits of Hathsin, where small nuggets form in geodes mined by slaves. Using allomancy near the crystals that form the geodes, destroys them. When used by a Feruchemist, it allows them to store age and, if compounded, can cause a complete stop of ageing. Its name comes from the holder of the shard, Ati. In the Wax and Wayne era, no samples exist and it is called 'the lost metal'. It forms the alloy Malatium, or eleventh metal, a metal that allows the user to see past versions of other people. A misting that burns Atium is known as a seer. Hemalurgic effects are unknown."
Australium,Team Fortress 2,"Extremely valuable element in Team Fortress 2 by Valve. In-game, it is a special type of weapon, and as the fuel for the rocket in the map SD_Doomsday in the Special Delivery game mode. In the bonus comics on the Team Fortress website, their role is fleshed out more; The Life-Extending machines used by The Administrator, Blutarch, Redmond, and Gray Mann are powered by Australium, and a large part of the plot revolves around hiding the vast stores of Australium.[18] Australium, found in Australia, hence the name, makes one smarter over time, but at the cost of increasing 'manliness and beard levels' in those who use it. It looks similar to the real element gold."
